pokedex_number,variant,name,hp,attack,defense,sp_attack,sp_defense,speed,abilities,taken_normal,taken_fire,taken_water,taken_electric,taken_grass,taken_ice,taken_fight,taken_poison,taken_ground,taken_flying,taken_psychic,taken_bug,taken_rock,taken_ghost,taken_dragon,taken_dark,taken_steel,taken_fairy,classification,type1,type2,height_m,weight_kg,percentage_male,is_legendary,generation
1,,Bulbasaur,45,49,49,65,65,45,"['Overgrow', 'Chlorophyll']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,Seed Pokemon,grass,poison,0.7,6.9,88.1,0,1
2,,Ivysaur,60,62,63,80,80,60,"['Overgrow', 'Chlorophyll']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,Seed Pokemon,grass,poison,1,13,88.1,0,1
3,,Venusaur,80,82,83,100,100,80,"['Overgrow', 'Chlorophyll']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,Seed Pokemon,grass,poison,2,100,88.1,0,1
3,mega,Venusaur,80,100,123,122,120,80,['Thick Fat'],1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,Seed Pokemon,grass,poison,2.4,155.5,88.1,0,6
4,,Charmander,39,52,43,60,50,65,"['Blaze', 'Solar Power']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Lizard Pokemon,fire,,0.6,8.5,88.1,0,1
5,,Charmeleon,58,64,58,80,65,80,"['Blaze', 'Solar Power']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Flame Pokemon,fire,,1.1,19,88.1,0,1
6,,Charizard,78,84,78,109,85,100,"['Blaze', 'Solar Power']",1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,Flame Pokemon,fire,flying,1.7,90.5,88.1,0,1
6,mega_x,Charizard,78,130,111,130,85,100,['Tough Claws'],1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1,Flame Pokemon,fire,dragon,1.7,110.5,88.1,0,6
6,mega_y,Charizard,78,104,78,159,115,100,['Drought'],1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,Flame Pokemon,fire,flying,1.7,100.5,88.1,0,6
7,,Squirtle,44,48,65,50,64,43,"['Torrent', 'Rain Dish']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Tiny Turtle Pokemon,water,,0.5,9,88.1,0,1
8,,Wartortle,59,63,80,65,80,58,"['Torrent', 'Rain Dish']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Turtle Pokemon,water,,1,22.5,88.1,0,1
9,,Blastoise,79,83,100,85,105,78,"['Torrent', 'Rain Dish']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Shellfish Pokemon,water,,1.6,85.5,88.1,0,1
