name;effects;
Adaptability;[];Increases the Same Type Attack Bonus from *1.5 to *2.
Aerilate;[];Increases the power of Normal-type moves by 20%. It then changes those moves to Flying-type.
Aftermath;[];The foe that dealt the final hit loses 1/4 of its maximum HP if the move made physical contact.
Air Lock;[];All weather effects are negated while the Pokémon is on the field.
Analytic;[];Attack power increases by 30% if the Pokémon is the last Pokémon to attack this turn
Anger Point;[];Increases Attack to maximum level upon taking a critical hit.
Anticipation;[];Warns when the foe knows 1-hit KO or super-effective moves.
Arena Trap;[];The opponent cannot run nor switch. Flying-type Pokémon and Pokémon with the Levitate special ability are unaffected. If this Pokémon switches, the opponent is still trapped for that turn. The opponent may still switch by using Baton Pass.
Aroma Veil;[];Protects itself and its allies from attacks that limit their move choices.
Aura Break;[];The effects of Aura Abilities are reversed to lower the power of affected moves.
Bad Dreams;[];Reduces the HP of sleeping opposing Pokémon.
Ball Fetch;[];If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle.
Battery;[];Powers up ally Pokémon's special moves.Boosts Ally Pokémon's Special Attack by 30%.
Battle Armor;[];Opponent’s moves cannot Critical Hit.
Battle Bond;[];Defeating an opposing Pokémon strengthens the Pokémon's bond with its Trainer, and it becomes Ash-Greninja. Water Shuriken gets more powerful.
Beast Boost;[];Increases the Pokémon's highest stat when it knocks out a Pokémon
Berserk;[];Boosts the Pokémon's Sp. Atk stat when it takes a  hit that causes its HP to become half or less.
Big Pecks;[];Protects the Pokémon from Defense-lowering effects.
Blaze;[];When HP is below 1/3rd its maximum, power of Fire-type moves is increased by 50%.
Bulletproof;[];Protects the Pokémon from some ball and bomb moves.
Cheek Pouch;[];Restores HP as well when the Pokémon eats a Berry.
Chlorophyll;[];When sunny, the Pokémon’s Speed doubles.
Clear Body;[];Opponents’ moves which lower this Pokémon’s stats have no effect. However this Pokémon may lower its own stats with its own moves.
Cloud Nine;[];All weather effects are negated while the Pokémon is on the field.
Color Change;[];This Pokémon’s type becomes the type of the last damaging move which hit it.
Comatose;[];It acts as if it is affected by the Sleep status condition. All special effects of moves based on the Sleep status condition affect this Pokémon such as Snore & Sleep Talk working from the Pokémon with Comatose and double damage from Hex & Wake-up Slap, Dream Eater & Nightmare and even abilities such as Bad Dreams will activate. This Pokémon can still attack.
Competitive;[];Raises Sp. Atk stat by two stages whenever a stat is lowered
Compoundeyes;[];Raises the Pokémon’s accuracy by 30%.
Contrary;[];Moves used on the Pokémon that raise stats lower the stats, while the moves that lower the stats raise the stat
Corrosion;[];The Pokémon can poison the target even if it's a Steel or Poison type.
Cotton Down;[];When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself.
Cursed Body;[];When a move hits the Pokémon, that move has a 30% chance of getting disabled
Cute Charm;[];The opponent has a 30% chance of being induced with Attract when using an attack, that requires physical contact, against this Pokémon.
Damp;[];Explosion, Selfdestruct & Mind Blown will not work while the Pokémon is on the field.
Dancer;[];When another Pokémon uses a dance move, it can use a dance move following it regardless of its Speed.
Dark Aura;[];Powers up every Pokémon in play's Dark-type moves by 33.3%
Dauntless Shield;[];Boosts the Pokémon's Defense stat when the Pokémon enters a battle.
Dazzling;[];Prevents the opponent from using moves with increased Speed Priority on this Pokémon.
Defeatist;[];The Pokémon's Attack & Special Attack is halved when its Hit Points are below 50% of maximum
Defiant;[];Attack is raised by two stages when the Pokémon has its stats lowered. Doesn't work on self inflicted stat drops or drops from allies
Delta Stream;[];Creates the Strong Winds weather. This lasts until the Pokémon exits battle, and weakens moves used on Flying-type Pokémon that would be Super Effective
Desolate Land;[];Creates the Strong Sun weather. This lasts until the Pokémon exits battle, and renders Water-type moves useless
Disguise;[];Once per battle, the Pokémon can withstand one damaging attack without receiving any damage. Damage inflicted through entry hazards, weather or status conditions will not break the disguise. Damage from Confusion will break the Disguise.  It causes 1/8th of max Hit Point damage when it breaks
Download;[];Attack is increased when the foe’s Defense is lower than its Special Defense or increases Special Attack when the foe’s Special Defense is lower than its Defense.
Drizzle;[];Weather changes to Heavy Rain when the Pokémon enters the battle. As of X & Y, this lasts 5 turns.
Drought;[];Weather changes to Intense Sunshine when the Pokémon enters the battle. As of X & Y, this lasts 5 turns.
Dry Skin;[];HP is restored when hit by Water-type moves or when it is raining but also makes the Pokémon weak to Fire-type moves and reduces HP during strong sunlight.
Early Bird;[];Sleep conditions lasts for half as long, rounding down. For example, half of three turns is 1.5, which rounds down to one turn. When the number of turns to sleep is one, half of this rounded down is zero, and the Pokémon wakes up instantly.
Effect Spore;[];The opponent has a 10% chance of being induced by PARALYZE, POISON, or SLEEP when using an attack, that requires physical contact, against this Pokémon.
Electric Surge;[];Activates Electric Terrain for 5 turns when the Pokémon enters a battle.
Emergency Exit;[];When the Pokémon's Hit Points hit 50% or less, the Pokémon will switch out. Works once per battle. The Pokémon will not switch out if it drops below 50% due to Confusion, Weather, use of Substitute or when the damage inflicted is by a Pokémon with the Sheer Force ability. It will not activate if health is brought back up above 50% due to a hold item
Fairy Aura;[];Powers up every Pokémon in play's Fairy-type moves by 33.3%
Filter;[];Damage by super-effective moves is reduced by 25%.
Flame Body;[];The opponent has a 30% chance of being induced with Burn when using an attack, that requires physical contact, against this Pokémon.
Flare Boost;[];Special Attack stat increased by 50% when burned
Flash Fire;[];Activates when user is hit by a damaging Fire-type move (including Fire-type Hidden Power). Once activated, user’s Fire-type moves deal 1.5 times damage. While this ability is in effect, this Pokémon is immune to damage from Fire-type attacks and Fire-type Hidden Power (accuracy and effect from these moves are ignored). For Fire-type Pokémon with this ability, Will-O-Wisp activates this ability without having an effect. If a non-Fire-type Pokémon has this ability, Will-O-Wisp will activate the ability and will have an effect.
Flower Gift;[];Ally’s Attack and Special Defence are multiplied by 1.5 during strong sunlight.
Flower Veil;[];Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.
Fluffy;[];Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.
Forecast;[];This Pokémon’ changes its form and type if Harsh Sunlight, Heavy Rain or Hail is in effect.
Forewarn;[];Reveals the foe’s strongest move.
Friend Guard;[];In Double & Triple battles, the damage that ally Pokémon receive from attacks is reduced by 25%.
Frisk;[];Reveals the foe’s held item.
Full Metal Body;[];Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.
Fur Coat;[];Halves the damage from physical moves onto this Pokémon.
Gale Wings;[];All Flying-type moves have their Speed Priority increased by 1 if the Pokémon's Hit Points are at maximum
Galvanize;[];Increases the power of Normal-type moves by 20%. It then changes those moves to Electric-type.
Gluttony;[];The Pokémon will use a berry when its Hit Points are below 50%.
Gooey;[];Lowers the opponent's Speed by one stage when it makes physical contact.
Gorilla Tactics;[];Raises the Pokémon's Attack stat by one stage, but locks the Pokémon into using the first attack it uses after being sent out
Grass Pelt;[];Increases Defense by 50% when battling on Grass or if the move Grassy Terrain is in effect
Grassy Surge;[];Activates Grassy Terrain for 5 turns when the Pokémon enters a battle.
