name;type;category;power;priority;contact;sound_type;punch_type;effects;sec_effects;;
Absorb;grass;special;20;0;0;0;0;[];[];A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.;User recovers half the damage inflicted.
Accelerock;rock;physical;40;1;1;0;0;[];[];The user smashes into the target at high speed. This move always goes first.;Has increased Speed Priority
Acid;poison;special;40;0;0;0;0;[];[];Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.;May lower opponent's Special Defense one stage.
Acid Spray;poison;special;40;0;0;0;0;[];[];The user spits fluid that works to melt the target. This harshly lowers the target's Sp. Def stat.;Lowers opponent's Special Defense two stages.
Acrobatics;flying;physical;55;0;1;0;0;[];[];The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage.;Increases damage by 100% if user is not holding an item.
Aerial Ace;flying;physical;60;0;1;0;0;[];[];The user confounds the target with speed, then slashes. This attack never misses.;Cannot miss.
Aeroblast;flying;special;100;0;0;0;0;[];[];A vortex of air is shot at the target to inflict damage. Critical hits land more easily.;Has an increased Critical Hit ratio
Air Cutter;flying;special;60;0;0;0;0;[];[];The user launches razor-like wind to slash opposing Pokémon. Critical hits land more easily.;Has an increased Critical Hit ratio
Air Slash;flying;special;75;0;0;0;0;[];[];The user attacks with a blade of air that slices even the sky. This may also make the target flinch.;May cause opponent to flinch.
Anchor Shot;steel;physical;80;0;1;0;0;[];[];The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.;Prevents opponent from switching
Ancient Power;rock;special;60;0;0;0;0;[];[];The user attacks with a prehistoric power. This may also raise all the user's stats at once.;May raise all user's stats one stage.
Apple Acid;grass;special;80;0;0;0;0;[];[];The user attacks the target with an acidic liquid created from tart apples. This also lowers the target's Sp. Def stat.;Lowers opponent's Sp. Def one stage
Aqua Jet;water;physical;40;1;1;0;0;[];[];The user lunges at the target at a speed that makes it almost invisible. This move always goes first.;Has increased Speed Priority
Aqua Tail;water;physical;90;0;1;0;0;[];[];The user attacks by swinging its tail as if it were a vicious wave in a raging storm.;No effect.
Arm Thrust;fighting;physical;60;0;1;0;0;[];[];The user lets loose a flurry of open-palmed arm thrusts that hit two to five times in a row.;Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits (15 power)
Assurance;dark;physical;60;0;1;0;0;[];[];If the target has already taken some damage in the same turn, this attack's power is doubled.;Doubles damage if target has already received damage this turn.
Astonish;ghost;physical;30;0;1;0;0;[];[];The user attacks the target while shouting in a startling fashion. This may also make the target flinch.;May cause opponent to flinch.
Attack Order;bug;physical;90;0;0;0;0;[];[];The user calls out its underlings to pummel the target. Critical hits land more easily.;Has an increased Critical Hit ratio
Aura Sphere;fighting;special;80;0;0;0;0;[];[];The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.;Cannot miss.
Aura Wheel;electric;physical;110;0;0;0;0;[];[];Morpeko attacks and raises its Speed with the energy stored in its cheeks. This move's type changes depending on the user's form.;Raises user's Speed by 1 stage. Changes type to Dark-type if user is in Hangry Mode
Aurora Beam;ice;special;65;0;0;0;0;[];[];The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.;May lower opponent's Attack one stage.
Avalanche;ice;physical;60;-4;1;0;0;[];[];The power of this attack move is doubled if the user has been hurt by the target in the same turn.;Power doubles if user was hit before using the Attack.
Barrage;normal;physical;60;0;0;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits (15 power)
Beak Blast;flying;physical;100;-3;0;0;0;[];[];The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.;Moves first in turn to charge, and last in the same turn to Attack. If opponent makes physical contact between this, the opponent is Burned
Beat Up;dark;physical;100;0;0;0;0;[];[];The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks.;Does additional damage for every Pokémon in trainer's team. (1 power)
Belch;poison;special;120;0;0;0;0;[];[];The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.;Consumes a Berry
Bide;normal;physical;80;1;1;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;User takes hits for 2 rounds, then strikes back. (1 power)
Bind;normal;physical;15;0;1;0;0;[];[];Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.;Traps opponent.
Bite;dark;physical;60;0;1;0;0;[];[];The target is bitten with viciously sharp fangs. This may also make the target flinch.;May cause opponent to flinch.
Blaze Kick;fire;physical;85;0;1;0;0;[];[];The user launches a kick that lands a critical hit more easily. This may also leave the target with a burn.;Has high critical hit ratio. May induce burn.
Blizzard;ice;special;110;0;0;0;0;[];[];A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.;May Freeze opponent.
Blue Flare;fire;special;130;0;0;0;0;[];[];The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn.;May induce burn.
Body Slam;normal;physical;85;0;1;0;0;[];[];The user drops onto the target with its full body weight. This may also leave the target with paralysis.;May induce paralysis.
Bolt Beak;electric;physical;85;0;1;0;0;[];[];The user stabs the target with its electrified beak. If the user attacks before the target, the power of this move is doubled.;Doubles damage if the user moves before the target
Bolt Strike;electric;physical;130;0;1;0;0;[];[];The user surrounds itself with a great amount of electricity and charges its target. This may also leave the target with paralysis.;May induce paralysis.
Bone Club;ground;physical;65;0;0;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;May cause opponent to flinch.
Bone Rush;ground;physical;100;0;0;0;0;[];[];The user strikes the target with a hard bone two to five times in a row.;Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits (25 power)
Bonemerang;ground;physical;50;0;0;0;0;[];[];The user throws the bone it holds. The bone loops around to hit the target twice—coming and going.;Attacks twice in a row.
Boomburst;normal;special;140;0;0;1;0;[];[];The user attacks everything around it with the destructive power of a terrible, explosive sound.;No effect.
Bounce;flying;physical;85;0;1;0;0;[];[];The user bounces up high, then drops on the target on the second turn. This may also leave the target with paralysis.;The user is protected the first turn, Attacks the second turn. May induce Paralysis
Branch Poke;grass;physical;40;0;1;0;0;[];[];The user attacks the target by poking it with a sharply pointed branch.;No effect.
Brave Bird;flying;physical;120;0;1;0;0;[];[];The user tucks in its wings and charges from a low altitude. This also damages the user quite a lot.;User takes recoil damage equal to a third of the damage inflicted.
Breaking Swipe;dragon;physical;60;0;1;0;0;[];[];The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.;Lowers all opponent's Attack one stage
Brick Break;fighting;physical;75;0;1;0;0;[];[];The user attacks with a swift chop. It can also break barriers, such as Light Screen and Reflect.;[DEPTH]Destroys protective barriers.
Brine;water;special;65;0;0;0;0;[];[];If the target's HP is half or less, this attack will hit with double the power.;Doubles damage if target has less than 50% HP
Brutal Swing;dark;physical;60;0;1;0;0;[];[];The user swings its body around violently to inflict damage on everything in its vicinity.;In Doubles, if one of the two opponents protects or is a Fairy-type Pokémon, it hits the opponent that doesn't protect twice.
Bubble;water;special;40;0;0;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;May lower opponent's Speed one stage.
Bubble Beam;water;special;65;0;0;0;0;[];[];A spray of bubbles is forcefully ejected at the target. This may also lower the target's Speed stat.;May lower opponent's Speed one stage.
Bug Bite;bug;physical;60;0;1;0;0;[];[];The user bites the target. If the target is holding a Berry, the user eats it and gains its effect.;Removes target's Berry and uses its effect
Bug Buzz;bug;special;90;0;0;1;0;[];[];The user generates a damaging sound wave by vibration. This may also lower the target's Sp. Def stat.;May lower opponent's Special Defense one stage.
Bulldoze;ground;physical;60;0;0;0;0;[];[];The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.;May lower opponent's Speed one stage.
Bullet Punch;steel;physical;40;1;1;0;1;[];[];The user strikes the target with tough punches as fast as bullets. This move always goes first.;Has increased Speed Priority
Bullet Seed;grass;physical;100;0;0;0;0;[];[];The user forcefully shoots seeds at the target two to five times in a row.;Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits (25 power)
Burn Up;fire;special;130;0;0;0;0;[];[];To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.;Removes Fire-type from user. If user was pure Fire-type, it is now without a type.
Charge Beam;electric;special;50;0;0;0;0;[];[];The user attacks the target with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.;May raise user's Special Attack one stage
